A08-89194-102;31/;05/201108;129;0221930;6/200;09/2;012;0;1301/12/20;14014;12172.1616;;01/78806/
A68-42651-103;01/;06/201295;148;005764C0;2/201;12/2;01406/04/20;150;0214/04/20;15000;7120.241605;;01/18201/
A68-42651-103;01/;06/201295;148;006469C0;6/201;12/2;01406/04/20;150;0214/04/20;15000;7123.571605;;01/18208/
A68-42651-103;01/;06/201295;148;0060900;4/201;12/2;01406/04/20;150;0214/04/20;15000;7123.571605;;01/18203/
A68-42651-103;01/;06/201295;148;0059280;3/201;12/2;014;0;1312/02/20;15006;8638.441605;;01/18203/
A68-42651-103;01/;06/201295;143;0059280;3/201;12/2;014;0;1312/02/20;15006;81596.101605;;01/10303/
A68-42651-103;01/;06/201295;148;005552C0;1/201;12/2;014;0;1302/03/20;15005;0665.661605;;01/18201/
A68-42651-103;01/;06/201295;143;004994C1;1/201;11/2;014;0;1309/02/20;15007;11097.891605;;01/00310/
A68-42651-103;01/;06/201295;143;005552C0;1/201;12/2;014;0;1302/03/20;15005;01664.151605;;01/10301/
A68-42651-103;01/;06/201295;148;005175C1;2/201;11/2;014;0;1312/02/20;15006;8653.721605;;01/08218/
A68-42651-103;01/;06/201295;143;005175C1;2/201;11/2;014;0;1312/02/20;15006;81634.311605;;01/00318/
A68-42651-103;01/;06/201295;148;004994C1;1/201;11/2;014;0;1309/02/20;15007;1439.151605;;01/08210/
A68-42651-103;01/;06/201295;129;0023950;2/201;02/2;01227/03/20;140;1431/07/20;14026;4696496.901605;;01/20008/
B61-41707-102;11/;11/201196;119;0068570;4/200;12/2;01126/06/20;120;1427/09/20;12093;63771.231605;;01/20319/
B61-41707-102;11/;11/201196;129;0091180;5/199;03/2;01226/06/20;120;1427/09/20;12093;6701.191605;;01/88220/
B61-41707-102;11/;11/201196;119;0068670;8/200;12/2;01126/06/20;120;1427/09/20;12093;65856.301605;;01/28219/
B61-41707-102;11/;11/201196;119;0068660;8/200;12/2;01126/06/20;120;1427/09/20;12093;614640.751605;;01/20319/
B61-41707-102;11/;11/201196;119;0068650;7/200;12/2;01126/06/20;120;1427/09/20;12093;66012.651605;;01/28219/
B61-41707-102;11/;11/201196;119;0068640;7/200;12/2;01126/06/20;120;1427/09/20;12093;615031.621605;;01/20319/
B61-41707-102;11/;11/201196;119;0068620;6/200;12/2;01126/06/20;120;1427/09/20;12093;614738.951605;;01/20319/
B61-41707-102;11/;11/201196;119;0068610;5/200;12/2;01126/06/20;120;1427/09/20;12093;66159.121605;;01/28219/
B61-41707-102;11/;11/201196;119;0068630;6/200;12/2;01126/06/20;120;1427/09/20;12093;65895.581605;;01/28219/
B61-41707-102;11/;11/201196;119;0068590;4/200;12/2;01126/06/20;120;1427/09/20;12093;63955.301605;;01/28219/
B61-41707-102;11/;11/201196;119;0068600;5/200;12/2;01126/06/20;120;1427/09/20;12093;615397.791605;;01/20319/
B61-41707-102;11/;11/201196;119;0068580;4/200;12/2;01126/06/20;120;1427/09/20;12093;61508.491605;;01/28219/
B61-41707-102;11/;11/201196;119;0068550;2/200;12/2;01126/06/20;120;1427/09/20;12093;6561.791605;;01/28219/
B61-41707-102;11/;11/201196;119;0068560;3/200;12/2;01126/06/20;120;1427/09/20;12093;64026.371605;;01/28219/
